id,name,address,lat,lng
ChIJUYJsoQ9VL4QRjA2sAgheuLk,Starbucks Galerías Santa Anita,"Av. Adolfo López Mateos Sur 9900, Poniente, 45645 San Agustín, Jal., Mexico",20.5539536,-103.4689967
ChIJf8NdO8-tKIQRK2tZfrmdyrQ,Starbucks Palomar DT,"Av. Adolfo López Mateos Sur 1307-Local 1, El Palomar, 45643 La Tijera, Jal., Mexico",20.5895358,-103.4430314
ChIJFc8-t0yrKIQRnuWOlXP3wKA,Starbucks Punto Sur,"Av. Paseo, Av. Punto Sur 235, 45645 Los Gavilanes, Jal., Mexico",20.569055,-103.45365129999999
ChIJue2d-HGuKIQRdzuywKAuhhw,Starbucks Urban Center DT,"Av. Adolfo López Mateos Sur 7000, La Rioja, Los Gavilanes, 45645 Los Gavilanes, Jal., Mexico",20.569034,-103.457382
ChIJ14pMVKCtKIQRL4GPP34i-7I,Starbucks,"Av. Adolfo López Mateos Sur 6056, Las Fuentes, 45070 Zapopan, Jal., Mexico",20.620376399999998,-103.4236091
ChIJoWyvGPisKIQRhoOKEAwFkYg,Starbucks,"Av. Camino al ITESO 8650-B-11, El Mante, 45609 San Pedro Tlaquepaque, Jal., Mexico",20.6119012,-103.4158836
ChIJOdenAoOsKIQRJRrN0bnKJtc,Starbucks Coffee Plaza Bugambilias,"Blvd. Bugambilias 2299, Bugambilias, 45238 Zapopan, Jal., Mexico",20.6008103,-103.44840219999999
ChIJFR5PJx2zKIQRc_0F0VQ3ZYc,Starbucks,"A Chapala, Paseos del Lago, 45619 San Pedro Tlaquepaque, Jal., Mexico",20.5852774,-103.31944469999999
ChIJiQavbQWuKIQRJSVZCRK-xjE,Starbucks Chapultepec,"C. Manuel López Cotilla 1465, Col Americana, Lafayette, 44150 Guadalajara, Jal., Mexico",20.6735649,-103.3689194
ChIJnSCIl3mrKIQRu5GBKsIDkls,Starbucks Punto Sur,"Av. Punto Sur 312, Punto Sur, 45640 Tlajomulco de Zúñiga, Jal., Mexico",20.5686392,-103.4521238
ChIJDe0W-3GuKIQRhbrVnvKjucU,Starbucks Minerva DT,"Av. Adolfo López Mateos Sur 90, Vallarta Poniente, 44110 Guadalajara, Jal., Mexico",20.6736948,-103.38826259999999
ChIJW-t-XdCtKIQRB_rsVXMzjZ0,Starbucks Mariano Otero DT,"Av. Mariano Otero No. 3295, Verde Valle, 44550 Guadalajara, Jal., Mexico",20.652734,-103.3948971
ChIJzXWj6V1ML4QRPYMWGx7Fgm4,Starbucks,"Carr. Guadalajara - Chapala 17.5, 45659 Jal., Mexico",20.524813899999998,-103.3012078
ChIJbdhfgKeuKIQRNqFkMiKkChc,Starbucks Guadalupe,"no.6000, Av Guadalupe, Plaza Guadalupe, 45070 Zapopan, Jal., Mexico",20.6588244,-103.4369059
ChIJI3xY-7-uKIQRX4tt5qShH9w,Starbucks,"Juan Palomar y Arias, Av Rafael Sanzio 123, Jardines Vallarta, 45027 Zapopan, Jal., Mexico",20.6824506,-103.4286455
ChIJobrx90OsKIQRVsL0zxAZn3M,Starbucks Copérnico,"C. Carnero 5435, La Calma, 45070 Zapopan, Jal., Mexico",20.630119999999998,-103.4223627
ChIJfTysob6uKIQRIzPOTMd4uyA,Starbucks,"Av Rafael Sanzio 150-5, La Estancia, 45030 Zapopan, Jal., Mexico",20.676831,-103.4311264
ChIJDUpnMACtKIQRFqTZ4tfS4oc,Starbucks Periférico Merkabastos,"Av. Perif. Pte. Manuel Gómez Morin 2109, Paseos del Sol, 45079 Zapopan, Jal., Mexico",20.631706599999998,-103.43593829999999
ChIJZSRwOvCxKIQRNsNXliUtr4w,Starbucks,"P.º Degollado 202, Zona Centro, 44100 Guadalajara, Jal., Mexico",20.676588499999998,-103.3450295
ChIJBywrYQCpKIQRJqAOV-1ws_8,Starbucks Distrito Poniente,"Nogales 440, Carr. Guadalajara - Tepic Local 01, San Juan de Ocotán, 45019 Zapopan, Jal., Mexico",20.6986603,-103.4570845
ChIJt9f2TbOzKIQRk2CnbLJfnlU,Starbucks parian tlaquepaque,"C. Juárez 144, Centro, 45500 San Pedro Tlaquepaque, Jal., Mexico",20.638547,-103.31223899999999
ChIJIWNjYwCtKIQRQjT5oV4KePk,Restaurant and Pajaretes The Cerritos: Mexican Starbucks,"Av. Adolf Bernard Horn Junior 532, Tlaquepaque, 45610 San Pedro Tlaquepaque, Jal., Mexico",20.5814213,-103.3619087
ChIJQ9AqXACxKIQRv6dQeunfR_c,Starbucks Avila Camacho,"Av. Manuel Ávila Camacho 1337, Mezquitan, 44260 Guadalajara, Jal., Mexico",20.699432899999998,-103.35541889999999
ChIJx0C0ILBNL4QRSJhvJAWRQHU,Starbucks Aeropuerto Guadalajara 3,"Av. de los Agentes Aduanales 1, 45649 Tlajomulco de Zúñiga, Jal., Mexico",20.524164799999998,-103.2983759
